origem,id_origem,pessoa_id
crm,100057,PES-03828
app,usr_9b9d166e,PES-05806
crm,100058,PES-01488
crm,100059,PES-02459
app,usr_00c9107a,PES-02716
crm,100060,PES-03248
crm,100061,PES-04331
crm,100062,PES-03887
crm,100063,PES-05405
crm,100064,PES-04185
app,usr_190d6342,PES-01364
crm,100065,PES-02054
crm,100066,PES-04046
loja,Loja Centro#4,PES-00661
crm,100067,PES-04962
crm,100068,PES-01418
crm,100069,PES-05799
app,usr_9f147fdb,PES-03685
app,usr_a7cdc9d8,PES-02015
crm,100070,PES-01887
loja,Loja Centro#5,PES-01347
crm,100071,PES-01559
crm,100072,PES-05139
crm,100073,PES-00905
crm,100074,PES-01823
crm,100075,PES-05413
crm,100076,PES-02968
loja,Loja Shopping#6,PES-01207
app,usr_3aa4e9e9,PES-05641
loja,Loja Shopping#7,PES-02393
crm,100077,PES-04685
crm,100078,PES-04704
crm,100079,PES-04592
crm,100080,PES-02788
crm,100081,PES-02025
crm,100082,PES-03842
app,usr_713e46f3,PES-04729
loja,Loja Bairro#4,PES-01767
crm,100083,PES-04392
crm,100084,PES-03690
crm,100085,PES-05616
app,usr_809f9966,PES-00346
crm,100086,PES-00491
crm,100087,PES-03106
loja,Loja Bairro#5,PES-02966
crm,100088,PES-03277
app,usr_e4c0f9fb,PES-02167
app,usr_e9e4ab41,PES-03471
loja,Loja Centro#6,PES-01148
app,usr_6f002446,PES-05137
crm,100089,PES-05961
app,usr_fa1c1835,PES-05337
crm,100090,PES-00385
loja,Loja Shopping#8,PES-01140
loja,Loja Shopping#9,PES-04204
crm,100091,PES-01627
crm,100092,PES-05725
crm,100093,PES-05783
crm,100094,PES-05465
crm,100095,PES-05420
crm,100096,PES-01765
app,usr_82ff5239,PES-01724
crm,100097,PES-05873
app,usr_9df90aaf,PES-05236
crm,100098,PES-01812
loja,Loja Shopping#10,PES-00784
loja,Loja Shopping#11,PES-02941
crm,100099,PES-00771
crm,100100,PES-05249
crm,100101,PES-02305
crm,100102,PES-03137
crm,100103,PES-04082
loja,Loja Bairro#6,PES-03101
crm,100104,PES-04908
crm,100105,PES-02280
loja,Loja Centro#7,PES-05034
app,usr_27be50cd,PES-01312
crm,100106,PES-03638
app,usr_053a5e1b,PES-00372
crm,100107,PES-03665
loja,Loja Centro#8,PES-00291
app,usr_2f4c66f0,PES-02405
crm,100108,PES-02472
crm,100109,PES-02448
crm,100110,PES-02250
crm,100111,PES-00131
crm,100112,PES-02808
crm,100113,PES-01580
app,usr_eb113ae3,PES-01550
crm,100114,PES-01455
crm,100115,PES-04093
app,usr_c24fe099,PES-03278
loja,Loja Centro#9,PES-05484
crm,100116,PES-02640
crm,100117,PES-04990
crm,100118,PES-01810
crm,100119,PES-04797
crm,100120,PES-05134
crm,100121,PES-05340
crm,100122,PES-04117
crm,100123,PES-02325
crm,100124,PES-01306
app,usr_b6202835,PES-05149
crm,100125,PES-02496
app,usr_4500c064,PES-05571
loja,Loja Centro#10,PES-02035
crm,100126,PES-05863
crm,100127,PES-04014
loja,Loja Shopping#12,PES-02574
app,usr_21e9e850,PES-01668
crm,100128,PES-01419
crm,100129,PES-04013
loja,Loja Shopping#13,PES-00215
crm,100130,PES-04648
crm,100131,PES-01020
app,usr_1e8e9ea7,PES-02733
crm,100132,PES-04356
app,usr_cdace87a,PES-05917
app,usr_99844c82,PES-02153
crm,100133,PES-01899
app,usr_66c82027,PES-03791
app,usr_0bc274e3,PES-05820
crm,100134,PES-01598
crm,100135,PES-03275
app,usr_6cedf00d,PES-03078
crm,100136,PES-01754
loja,Loja Shopping#14,PES-05064
app,usr_46357804,PES-00115
loja,Loja Bairro#7,PES-01464
app,usr_1e56a6dc,PES-04363
loja,Loja Bairro#8,PES-02547
app,usr_ecb1f1d0,PES-04199
crm,100137,PES-01460
crm,100138,PES-01954
crm,100139,PES-03454
app,usr_be468d8c,PES-01726
crm,100140,PES-00040
crm,100141,PES-04207
crm,100142,PES-02743
crm,100143,PES-04186
app,usr_da68434e,PES-00264
crm,100144,PES-01506
crm,100145,PES-05472
crm,100146,PES-01852
crm,100147,PES-03323
crm,100148,PES-04629
crm,100149,PES-03404
crm,100150,PES-03674
crm,100151,PES-03492
app,usr_8fb45c61,PES-03378
app,usr_4e9561a1,PES-03987
crm,100152,PES-05906
loja,Loja Shopping#15,PES-03791
loja,Loja Shopping#16,PES-01482
app,usr_f2d79d5a,PES-05243
crm,100153,PES-04651
loja,Loja Centro#11,PES-01085
crm,100154,PES-00853
loja,Loja Bairro#9,PES-04636
app,usr_5f1a337f,PES-01623
crm,100155,PES-01229
loja,Loja Centro#12,PES-05508
app,usr_62b0c68f,PES-05841
crm,100156,PES-00896
crm,100157,PES-04553
crm,100158,PES-04768
crm,100159,PES-04823
app,usr_43fa39d2,PES-00814
app,usr_f5b36d78,PES-02727
app,usr_07aea25a,PES-04421
crm,100160,PES-00875
app,usr_a4f0a325,PES-04477
crm,100161,PES-05979
crm,100162,PES-04084
loja,Loja Centro#13,PES-01784
crm,100163,PES-01809
crm,100164,PES-04529
loja,Loja Bairro#10,PES-05681
crm,100165,PES-04499
app,usr_e048158b,PES-02844
crm,100166,PES-02152
app,usr_4dba4a5c,PES-04347
crm,100167,PES-01617
crm,100168,PES-03153
loja,Loja Centro#14,PES-04497
app,usr_f8af7dba,PES-00196
loja,Loja Shopping#17,PES-01836
app,usr_86f77c20,PES-03326
loja,Loja Centro#15,PES-04600
crm,100169,PES-03954
crm,100170,PES-04279
crm,100171,PES-03720
loja,Loja Shopping#18,PES-04803
crm,100172,PES-04003
app,usr_9109a810,PES-02134
crm,100173,PES-01407
crm,100174,PES-01830
crm,100175,PES-04307
loja,Loja Shopping#19,PES-03597
app,usr_b0579628,PES-04415
crm,100176,PES-05948
crm,100177,PES-05875
crm,100178,PES-02982
crm,100179,PES-03582
loja,Loja Bairro#11,PES-00523
app,usr_2514be10,PES-05212
crm,100180,PES-01839
app,usr_418ac4e1,PES-03495
crm,100181,PES-00262
crm,100182,PES-04456
crm,100183,PES-03237
crm,100184,PES-03256
loja,Loja Bairro#12,PES-04348
loja,Loja Shopping#20,PES-03565
crm,100185,PES-01711
crm,100186,PES-05647
crm,100187,PES-00009
app,usr_b4ef908b,PES-05536
crm,100188,PES-01635
crm,100189,PES-04706
crm,100190,PES-04845
app,usr_1dfd2e97,PES-02441
app,usr_425eb874,PES-01742
crm,100191,PES-03712
crm,100192,PES-04682
app,usr_2c365674,PES-00507
app,usr_927672e9,PES-03097
app,usr_46b119fb,PES-03395
crm,100193,PES-00750
app,usr_35fdd034,PES-03854
crm,100194,PES-03047
app,usr_adfe9b6c,PES-02965
app,usr_e771f8fb,PES-02033
crm,100195,PES-02606
crm,100196,PES-01797
loja,Loja Shopping#21,PES-05987
app,usr_29350488,PES-05072
crm,100197,PES-03481
app,usr_37d1c559,PES-02817
app,usr_feea77fb,PES-05358
app,usr_75578319,PES-00549
crm,100198,PES-05790
loja,Loja Bairro#13,PES-02854
crm,100199,PES-03122
crm,100200,PES-02979
crm,100201,PES-03284
app,usr_5b416de0,PES-02013
crm,100202,PES-02332
crm,100203,PES-04893
loja,Loja Shopping#22,PES-04314
loja,Loja Shopping#23,PES-02425
app,usr_8625c6bd,PES-02678
crm,100204,PES-02736
crm,100205,PES-00338
crm,100206,PES-03997
app,usr_bfcb2027,PES-01281
app,usr_6ed7ac4c,PES-00402
crm,100207,PES-01274
app,usr_0d590107,PES-03245
crm,100208,PES-05580
app,usr_ce5e2792,PES-00782
crm,100209,PES-00920
app,usr_4f2348e2,PES-01360
crm,100210,PES-01365
crm,100211,PES-00951
app,usr_c01d3da2,PES-05138
crm,100212,PES-05198
crm,100213,PES-04299
crm,100214,PES-01520
crm,100215,PES-01205
crm,100216,PES-03350
app,usr_b126c2e4,PES-05818
crm,100217,PES-01984
app,usr_6aecca98,PES-04974
crm,100218,PES-05753
app,usr_e84add96,PES-03589
app,usr_6ca0c3c5,PES-04850
crm,100219,PES-04932
loja,Loja Shopping#24,PES-02075
crm,100220,PES-01388
crm,100221,PES-02304
crm,100222,PES-03214
loja,Loja Centro#16,PES-05497
loja,Loja Centro#17,PES-03476
app,usr_170a0500,PES-03555
crm,100223,PES-01978
crm,100224,PES-01745
app,usr_2440eaeb,PES-05651
app,usr_6c97f060,PES-04329
app,usr_8a7b41b4,PES-00475
crm,100225,PES-04075
app,usr_dd0df03e,PES-05331
crm,100226,PES-03466
crm,100227,PES-04487
crm,100228,PES-00354
crm,100229,PES-02078
crm,100230,PES-02700
crm,100231,PES-02425
crm,100232,PES-03861
crm,100233,PES-03286
crm,100234,PES-03279
crm,100235,PES-05156
crm,100236,PES-01182
app,usr_c3ac07e5,PES-01302
crm,100237,PES-05004
loja,Loja Bairro#14,PES-04727
app,usr_1ecf9e00,PES-03707
app,usr_28f90775,PES-03813
crm,100238,PES-05362
crm,100239,PES-01257
crm,100240,PES-00908
crm,100241,PES-01019
app,usr_9be003b2,PES-02243
loja,Loja Shopping#25,PES-03535
loja,Loja Centro#18,PES-02950
app,usr_e435369c,PES-00683
crm,100242,PES-00778
app,usr_a9925414,PES-03487
crm,100243,PES-02201
crm,100244,PES-01124
crm,100245,PES-02807
loja,Loja Shopping#26,PES-01989
crm,100246,PES-03092
loja,Loja Centro#19,PES-02004
loja,Loja Shopping#27,PES-04385
app,usr_560daf4c,PES-01861
loja,Loja Centro#20,PES-00196
crm,100247,PES-03817
crm,100248,PES-05599
crm,100249,PES-03306
app,usr_bddb2a72,PES-00990
app,usr_189bea97,PES-05848
crm,100250,PES-00289
crm,100251,PES-05997
crm,100252,PES-00085
crm,100253,PES-00043
app,usr_daa83cdd,PES-01284
app,usr_974f4cdd,PES-03121
crm,100254,PES-02251
crm,100255,PES-02375
crm,100256,PES-05922
app,usr_6f6b29ac,PES-00174
crm,100257,PES-01037
loja,Loja Centro#21,PES-03677
loja,Loja Shopping#28,PES-01016
app,usr_55b23173,PES-00638
crm,100258,PES-01302
app,usr_4b55171f,PES-00580
crm,100259,PES-02275
app,usr_a391d585,PES-05817
app,usr_024ba4c1,PES-04132
app,usr_e6ca42fa,PES-05437
crm,100260,PES-01631
crm,100261,PES-04291
crm,100262,PES-01461
crm,100263,PES-02102
crm,100264,PES-00044
crm,100265,PES-04191
crm,100266,PES-00372
app,usr_bc3ff177,PES-05453
crm,100267,PES-05871
app,usr_ceb9995c,PES-00331
app,usr_23e22fb6,PES-03166
crm,100268,PES-05009
crm,100269,PES-05324
crm,100270,PES-04248
app,usr_6b7d6fa7,PES-02760
crm,100271,PES-02869
app,usr_d21abd90,PES-02164
crm,100272,PES-02426
crm,100273,PES-00962
app,usr_a41b3a03,PES-01562
loja,Loja Shopping#29,PES-00865
crm,100274,PES-01493
crm,100275,PES-02522
crm,100276,PES-02882
crm,100277,PES-03763
crm,100278,PES-05948
app,usr_1e0818bf,PES-02170
crm,100279,PES-03540
crm,100280,PES-01601
loja,Loja Shopping#30,PES-00071
app,usr_15c86d1e,PES-04335
app,usr_c6df154b,PES-03462
app,usr_477fcded,PES-03781
crm,100281,PES-03067
loja,Loja Shopping#31,PES-01198
app,usr_ac06d3d9,PES-02187
crm,100282,PES-05135
loja,Loja Centro#22,PES-00975
crm,100283,PES-05142
crm,100284,PES-02405
crm,100285,PES-00612
app,usr_be27470a,PES-01151
app,usr_35d0f571,PES-05753
app,usr_50259cc0,PES-05329
crm,100286,PES-00288
crm,100287,PES-02606
app,usr_e0764db1,PES-00288
app,usr_8db1feba,PES-05840
app,usr_315aefb4,PES-04158
crm,100288,PES-01572
crm,100289,PES-01053
crm,100290,PES-05719
app,usr_4eaa3b4d,PES-02958
app,usr_872d7135,PES-05022
app,usr_a6e43ee4,PES-02671
crm,100291,PES-01382
crm,100292,PES-04283
loja,Loja Shopping#32,PES-04384
crm,100293,PES-02205
crm,100294,PES-00464
crm,100295,PES-03770
crm,100296,PES-03952
app,usr_8a273dc6,PES-01352
crm,100297,PES-00816
loja,Loja Centro#23,PES-02961
app,usr_4b1ee22d,PES-05880
app,usr_462788e7,PES-01607
loja,Loja Bairro#15,PES-05462
app,usr_7b373e20,PES-02783
crm,100298,PES-02403
app,usr_05bc690e,PES-05160
loja,Loja Centro#24,PES-03034
app,usr_d39a6b30,PES-05065
crm,100299,PES-02769
crm,100300,PES-00741
crm,100301,PES-01587
app,usr_622c6e2a,PES-00151
app,usr_148bcd28,PES-04314
loja,Loja Shopping#33,PES-00554
crm,100302,PES-01574
app,usr_d0028b46,PES-01053
app,usr_be2f1ad3,PES-03712
app,usr_2418712d,PES-04943
crm,100303,PES-00799
crm,100304,PES-03640
app,usr_432f2c94,PES-00318
app,usr_74269b59,PES-03879
app,usr_f80acd2d,PES-05008
loja,Loja Bairro#16,PES-01590
crm,100305,PES-01145
app,usr_666f87df,PES-04246
app,usr_3012b903,PES-05334
app,usr_d54d972c,PES-00592
app,usr_578ef7d7,PES-04102
crm,100306,PES-04303
crm,100307,PES-04689
crm,100308,PES-03721
loja,Loja Shopping#34,PES-04077
app,usr_e92361d1,PES-05021
crm,100309,PES-03759
crm,100310,PES-01990
app,usr_c53adf40,PES-02440
crm,100311,PES-02232
crm,100312,PES-03575
crm,100313,PES-00609
app,usr_e2aefeef,PES-00919
crm,100314,PES-03191
app,usr_61cbcd38,PES-00501
app,usr_148d8134,PES-02029
app,usr_011ef42d,PES-01673
crm,100315,PES-00800
crm,100316,PES-05049
app,usr_19367903,PES-01039
app,usr_a533b40a,PES-05261
crm,100317,PES-01119
crm,100318,PES-05714
app,usr_c3a50462,PES-02203
crm,100319,PES-00132
loja,Loja Shopping#35,PES-03512
app,usr_7c9ba23d,PES-03425
loja,Loja Bairro#17,PES-00150
crm,100320,PES-02498
app,usr_036ad2d7,PES-04349
crm,100321,PES-03684
app,usr_82e486f1,PES-05740
loja,Loja Centro#25,PES-01025
crm,100322,PES-02160
crm,100323,PES-03974
app,usr_b469d17a,PES-02356
loja,Loja Bairro#18,PES-00334
loja,Loja Centro#26,PES-05546
loja,Loja Shopping#36,PES-02049
crm,100324,PES-04486
crm,100325,PES-03211
loja,Loja Centro#27,PES-05475
crm,100326,PES-01912
loja,Loja Shopping#37,PES-03049
app,usr_bfb2c06d,PES-05184
crm,100327,PES-00889
crm,100328,PES-00034
crm,100329,PES-04287
crm,100330,PES-05617
app,usr_2fe702bc,PES-02539
crm,100331,PES-05463
app,usr_01d4f8a0,PES-03259
loja,Loja Shopping#38,PES-03843
app,usr_6372cd3b,PES-00176
crm,100332,PES-04809
app,usr_df019a49,PES-00763
app,usr_fe48b55f,PES-05131
crm,100333,PES-04059
loja,Loja Centro#28,PES-03782
crm,100334,PES-04992
crm,100335,PES-01510
crm,100336,PES-01383
crm,100337,PES-02237
crm,100338,PES-03461
app,usr_77ba341b,PES-04770
app,usr_fec57668,PES-00208
loja,Loja Bairro#19,PES-04997
app,usr_5c2c75ee,PES-00968
loja,Loja Bairro#20,PES-01749
app,usr_fa4c2c65,PES-00606
crm,100339,PES-05183
app,usr_548c29be,PES-04047
app,usr_d9f74b43,PES-00446
crm,100340,PES-03806
loja,Loja Bairro#21,PES-05618
crm,100341,PES-04310
crm,100342,PES-04136
app,usr_d946bc45,PES-03677
loja,Loja Bairro#22,PES-04734
app,usr_ffd57d77,PES-03201
crm,100343,PES-04882
crm,100344,PES-02451
loja,Loja Centro#29,PES-05607
crm,100345,PES-05754
crm,100346,PES-00947
crm,100347,PES-01679
app,usr_b5bba584,PES-02738
crm,100348,PES-00367
app,usr_9e5d7564,PES-04060
crm,100349,PES-04772
crm,100350,PES-00264
loja,Loja Centro#30,PES-05622
crm,100351,PES-01273
loja,Loja Centro#31,PES-01658
app,usr_58152777,PES-04167
crm,100352,PES-04885
app,usr_7cccff15,PES-05441
app,usr_54ef4716,PES-04821
crm,100353,PES-00583
crm,100354,PES-04134
app,usr_9e1eb948,PES-02444
crm,100355,PES-00098
crm,100356,PES-00636
crm,100357,PES-03899
loja,Loja Shopping#39,PES-03200
crm,100358,PES-00067
crm,100359,PES-00712
crm,100360,PES-05314
crm,100361,PES-02107
crm,100362,PES-02629
loja,Loja Shopping#40,PES-01983
app,usr_cb0b4af2,PES-03809
loja,Loja Bairro#23,PES-05678
app,usr_7148e24d,PES-04285
crm,100363,PES-03529
app,usr_37616ee2,PES-01766
loja,Loja Shopping#41,PES-00112
crm,100364,PES-01818
crm,100365,PES-05100
crm,100366,PES-04519
loja,Loja Shopping#42,PES-05546
loja,Loja Bairro#24,PES-00318
crm,100367,PES-03288
loja,Loja Shopping#43,PES-04937
loja,Loja Shopping#44,PES-02920
app,usr_8634a25c,PES-03858
crm,100368,PES-03754
crm,100369,PES-04806
crm,100370,PES-04124
crm,100371,PES-00456
crm,100372,PES-05143
app,usr_54123ebf,PES-04548
crm,100373,PES-03709
loja,Loja Shopping#45,PES-05306
loja,Loja Shopping#46,PES-05411
crm,100374,PES-00073
loja,Loja Shopping#47,PES-01838
crm,100375,PES-02433
crm,100376,PES-00309
crm,100377,PES-04423
app,usr_d21e9a1b,PES-01922
app,usr_505fc809,PES-04634
app,usr_b140a49b,PES-01308
app,usr_61539005,PES-02263
app,usr_cae3595c,PES-03432
app,usr_123f059a,PES-03604
crm,100378,PES-05480
app,usr_67e831aa,PES-04430
crm,100379,PES-05972
loja,Loja Bairro#25,PES-05277
app,usr_c8935ac9,PES-00759
crm,100380,PES-03506
crm,100381,PES-02627
crm,100382,PES-04675
app,usr_be23d257,PES-05241
crm,100383,PES-01218
app,usr_f0f182bd,PES-04803
crm,100384,PES-01668
crm,100385,PES-05106
app,usr_afb87ba5,PES-00175
app,usr_68448688,PES-03118
crm,100386,PES-00627
crm,100387,PES-03578
app,usr_2292badd,PES-00847
loja,Loja Centro#32,PES-03965
loja,Loja Bairro#26,PES-00575
loja,Loja Shopping#48,PES-02421
crm,100388,PES-00723
crm,100389,PES-03477
crm,100390,PES-04433
crm,100391,PES-03055
app,usr_9cfbb622,PES-00656
loja,Loja Bairro#27,PES-01497
loja,Loja Centro#33,PES-05667
app,usr_a5c857e5,PES-02073
crm,100392,PES-00134
app,usr_1a586492,PES-01246
app,usr_583f4d02,PES-03597
app,usr_37000883,PES-01105
loja,Loja Bairro#28,PES-04557
app,usr_809fe299,PES-02868
app,usr_e2603829,PES-00743
loja,Loja Bairro#29,PES-04719
crm,100393,PES-00599
app,usr_ff76de3d,PES-03416
crm,100394,PES-05825
loja,Loja Centro#34,PES-02578
crm,100395,PES-01772
app,usr_7aae6676,PES-02173
app,usr_f98b80a9,PES-05609
app,usr_8c8252eb,PES-03532
crm,100396,PES-03108
loja,Loja Shopping#49,PES-03692
crm,100397,PES-03426
crm,100398,PES-05902
crm,100399,PES-01890
app,usr_a4a58407,PES-04229
app,usr_fbc9ab65,PES-03421
crm,100400,PES-01466
loja,Loja Centro#35,PES-01612
crm,100401,PES-02890
crm,100402,PES-04944
crm,100403,PES-05504
crm,100404,PES-04073
app,usr_d881d131,PES-04024
crm,100405,PES-03901
crm,100406,PES-01883
crm,100407,PES-02422
crm,100408,PES-04403
crm,100409,PES-05019
crm,100410,PES-04376
crm,100411,PES-01158
loja,Loja Centro#36,PES-02398
crm,100412,PES-00913
app,usr_55127d1b,PES-02002
loja,Loja Bairro#30,PES-05955
app,usr_296420a4,PES-02006
app,usr_f8283932,PES-05893
crm,100413,PES-05340
app,usr_28c2ee36,PES-04721
crm,100414,PES-00241
crm,100415,PES-00028
crm,100416,PES-00422
loja,Loja Shopping#50,PES-01550
crm,100417,PES-03527
app,usr_409f1b1d,PES-02855
crm,100418,PES-01873
crm,100419,PES-05091
crm,100420,PES-05706
crm,100421,PES-01126
crm,100422,PES-03882
loja,Loja Bairro#31,PES-01103
loja,Loja Shopping#51,PES-01702
crm,100423,PES-03661
crm,100424,PES-00380
crm,100425,PES-01429
crm,100426,PES-01210
app,usr_c68b61bb,PES-04686
crm,100427,PES-00238
app,usr_2661ddcb,PES-04200
crm,100428,PES-03586
crm,100429,PES-00051
crm,100430,PES-02279
crm,100431,PES-00519
crm,100432,PES-00221
app,usr_94b8d68f,PES-02232
crm,100433,PES-05566
app,usr_4d44f802,PES-01638
crm,100434,PES-02737
crm,100435,PES-05015
app,usr_5053b0ed,PES-04748
crm,100436,PES-00037
crm,100437,PES-05874
crm,100438,PES-01371
app,usr_dbaae3da,PES-03129
crm,100439,PES-04056
loja,Loja Bairro#32,PES-02593
app,usr_24f57669,PES-04859
crm,100440,PES-04065
app,usr_dd8d1ef4,PES-03484
crm,100441,PES-04442
crm,100442,PES-00980
crm,100443,PES-05495
app,usr_35f6812d,PES-01884
crm,100444,PES-03667
app,usr_053a996c,PES-05428
crm,100445,PES-04751
crm,100446,PES-01816
app,usr_1b03bb01,PES-00839
loja,Loja Centro#37,PES-00554
crm,100447,PES-03819
loja,Loja Shopping#52,PES-02108
crm,100448,PES-01176
app,usr_88eb04d5,PES-05932
app,usr_7f5657dd,PES-02347
app,usr_f5d80fc2,PES-02230
crm,100449,PES-03264
crm,100450,PES-05266
app,usr_6b0c76e5,PES-05539
crm,100451,PES-01578
crm,100452,PES-05946
loja,Loja Bairro#33,PES-03377
crm,100453,PES-04725
crm,100454,PES-00439
crm,100455,PES-04010
crm,100456,PES-01122
loja,Loja Shopping#53,PES-04824
crm,100457,PES-05642
crm,100458,PES-05380
app,usr_a6bdd9e7,PES-04032
crm,100459,PES-01646
crm,100460,PES-01116
loja,Loja Shopping#54,PES-01451
app,usr_e09088a3,PES-02633
app,usr_6cef19bd,PES-05591
crm,100461,PES-02909
app,usr_be9a75de,PES-01074
crm,100462,PES-02621
crm,100463,PES-05707
loja,Loja Bairro#34,PES-00604
app,usr_3dcf1db6,PES-05897
crm,100464,PES-03948
app,usr_a2df42f7,PES-02152
crm,100465,PES-04917
crm,100466,PES-03726
crm,100467,PES-05032
app,usr_87f288ad,PES-00153
app,usr_ce348b1a,PES-01906
crm,100468,PES-01767
crm,100469,PES-04998
app,usr_8e37b791,PES-04671
crm,100470,PES-02946
crm,100471,PES-04788
loja,Loja Shopping#55,PES-04649
crm,100472,PES-01960
crm,100473,PES-00153
crm,100474,PES-02282
crm,100475,PES-00025
crm,100476,PES-00985
app,usr_d83d8dfd,PES-00352
crm,100477,PES-03962
loja,Loja Centro#38,PES-03840
app,usr_85fc5109,PES-02292
crm,100478,PES-01665
crm,100479,PES-04630
app,usr_c3651988,PES-03031
app,usr_1c0275e7,PES-02111
crm,100480,PES-02628
app,usr_3449bd0b,PES-02709
crm,100481,PES-02449
loja,Loja Shopping#56,PES-02377
loja,Loja Centro#39,PES-02726
crm,100482,PES-00883
crm,100483,PES-04930
crm,100484,PES-00930
loja,Loja Centro#40,PES-05077
crm,100485,PES-01808
crm,100486,PES-04726
crm,100487,PES-00340
crm,100488,PES-04228
app,usr_2fe6504d,PES-04005
crm,100489,PES-01585
crm,100490,PES-02587
app,usr_efa8cb16,PES-04921
crm,100491,PES-02953
loja,Loja Centro#41,PES-00222
app,usr_1c4eb69e,PES-04345
crm,100492,PES-00610
loja,Loja Shopping#57,PES-03315
loja,Loja Bairro#35,PES-00814
crm,100493,PES-05823
app,usr_e1934d42,PES-04205
crm,100494,PES-02916
app,usr_19a1f5d6,PES-04824
app,usr_4178b11a,PES-00795
crm,100495,PES-03910
app,usr_9ae9855c,PES-01519
crm,100496,PES-03691
app,usr_06b78a1e,PES-04970
app,usr_7919beff,PES-03950
crm,100497,PES-03035
loja,Loja Centro#42,PES-03613
crm,100498,PES-02897
app,usr_dd8b4399,PES-01814
app,usr_cb1d13c3,PES-00613
crm,100499,PES-03949
app,usr_33ceb77a,PES-00168
app,usr_6264da1d,PES-02834
app,usr_aa3d9075,PES-02381
loja,Loja Bairro#36,PES-05637
loja,Loja Shopping#58,PES-01457
app,usr_042c6653,PES-00274
crm,100500,PES-00879
loja,Loja Centro#43,PES-03943
crm,100501,PES-04603
crm,100502,PES-04419
crm,100503,PES-02590
app,usr_721fa7a5,PES-03903
app,usr_76dd65c2,PES-03727
crm,100504,PES-02046
loja,Loja Shopping#59,PES-01505
crm,100505,PES-00971
crm,100506,PES-02208
loja,Loja Bairro#37,PES-00988
crm,100507,PES-02800
crm,100508,PES-00228
crm,100509,PES-00271
crm,100510,PES-00548
crm,100511,PES-00479
crm,100512,PES-04846
loja,Loja Bairro#38,PES-00679
crm,100513,PES-02480
crm,100514,PES-02542
app,usr_917fdb25,PES-00980
crm,100515,PES-05953
crm,100516,PES-04902
crm,100517,PES-02772
app,usr_83d3db71,PES-01071
crm,100518,PES-05522
loja,Loja Centro#44,PES-02412
crm,100519,PES-02258
app,usr_c9d62c62,PES-02037
loja,Loja Bairro#39,PES-04568
loja,Loja Shopping#60,PES-05017
app,usr_f64e80ba,PES-04261
crm,100520,PES-03309
crm,100521,PES-02136
crm,100522,PES-01030
crm,100523,PES-05510
app,usr_7eaded0c,PES-02556
app,usr_7c27c22e,PES-02610
crm,100524,PES-01144
app,usr_930a75db,PES-02439
crm,100525,PES-04700
crm,100526,PES-03019
app,usr_003f3e08,PES-04371
crm,100527,PES-02554
crm,100528,PES-01285
crm,100529,PES-05954
crm,100530,PES-01462
crm,100531,PES-02358
crm,100532,PES-04051
loja,Loja Centro#45,PES-01527
loja,Loja Bairro#40,PES-00761
app,usr_ec0f4610,PES-01218
crm,100533,PES-05663
app,usr_9e14a56e,PES-04669
crm,100534,PES-00569
